AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"UNTERBERGER, Franz-Richard","(b. 1838, Innsbruck, d. 1902, Neuilly-sur-Seine)",The Bay of Naples,-,"Oil on canvas, 84 x 71 cm",Private collection,https://www.wga.hu/html/u/unterbex/naples.html,painting,landscape,Austrian,1851-1900
"UNTERBERGER, Franz-Richard","(b. 1838, Innsbruck, d. 1902, Neuilly-sur-Seine)","Grand Canal, Venice",-,"Oil on canvas, 61 x 100 cm",Private collection,https://www.wga.hu/html/u/unterbex/venice.html,painting,landscape,Austrian,1851-1900
"URBANI, Andrea","(b. 1711, Venezia, d. 1798, Padova)",View of a Villa with a Pool,1764-68,Fresco,"Villa Vendramin Grimani Calergi Valmarana, Noventa Padovana",https://www.wga.hu/html/u/urbani/vendra04.html,painting,landscape,Italian,1751-1800
"URBANI, Andrea","(b. 1711, Venezia, d. 1798, Padova)",Landscape with Waterfall,1764-68,Fresco,"Villa Vendramin Grimani Calergi Valmarana, Noventa Padovana",https://www.wga.hu/html/u/urbani/vendra05.html,painting,landscape,Italian,1751-1800
"URY, Lesser","(b. 1861, Birnbaum, d. 1931, Berlin)",Berlin Street Scene (Leipzigerstrasse),1889,"Oil on canvas, 107 x 68 cm","Berlinische Galerie, Berlin",https://www.wga.hu/html/u/ury/berlinst.html,painting,landscape,German,1851-1900
"UTENS, Giusto","(active 1599, d. 1609 in Carrara)","Villa Medicea, Cafaggiolo",1599,Fresco,"Museo di Firenze com'era, Florence",https://www.wga.hu/html/u/utens/cafaggi.html,painting,landscape,Flemish,1601-1650
"UTENS, Giusto","(active 1599, d. 1609 in Carrara)","Villa Medicea, Cafaggiolo (detail)",1599,Fresco,"Museo di Firenze com'era, Florence",https://www.wga.hu/html/u/utens/cafaggi1.html,painting,landscape,Flemish,1601-1650
"UTENS, Giusto","(active 1599, d. 1609 in Carrara)",Villa Medicea di Castello,1599,Fresco,"Museo di Firenze com'era, Florence",https://www.wga.hu/html/u/utens/castello.html,painting,landscape,Flemish,1601-1650
"UTENS, Giusto","(active 1599, d. 1609 in Carrara)",Palazzo Pitti and the Forte Belvedere,1599,Fresco,"Museo di Firenze com'era, Florence",https://www.wga.hu/html/u/utens/pitti.html,painting,landscape,Flemish,1601-1650
"UYTTENBROECK, Moyses Matheusz van","(b. ca. 1595, Den Haag, d. ca. 1647, Den Haag)",Landscape with Dancing Bacchantes,-,"Oil on panel, 48 x 71 cm",Private collection,https://www.wga.hu/html/u/uyttenbr/bacchant.html,painting,landscape,Dutch,1601-1650
"UYTTENBROECK, Moyses Matheusz van","(b. ca. 1595, Den Haag, d. ca. 1647, Den Haag)",Landscape with Arcadian Scene,-,"Oil on panel, 50 x 87 cm",Private collection,https://www.wga.hu/html/u/uyttenbr/lanarcad.html,painting,landscape,Dutch,1601-1650
